Participant_ID,Day,Treatment,PP,G,R,TA,B5_A,B5_C,B5_E,B5_N,B5_O,AB,T_D,SA_B,SA_E,N_MD,N_PD,N_TD,N_P,N_E,N_F,RW,SA,SP,Out,I,tOut,fOut,T_RW_APPS,T_EA,T_PA,T_VC,F_Angry,F_Disgusted,F_Afraid,F_Happy,F_Sad,F_Surprised,F_Neutral,F_Binary,FSum_Binary
T001,Day1,WS,-0.050312596,1,4,38,35,41,24,21,48,242,15459,33,36,11,1,4,6,8,2,57.75,0,0.78,7.34,25.36,567.5,0.465748108,0,0,0,0,0.192047427,0.000642044,0.338687434,0.117469324,0.165401612,0.003048881,0.182703278,1,1
T001,Day2,WS,0.412545184,1,4,38,35,41,24,21,48,242,17237,35,34,10,3,4,7,8,1,39.04,0,0,12.72,31.08,438.2,1.044265243,0,0,0,0,0.303835738,0.002919834,0.120997991,0.152291833,0.149012819,0.001611518,0.269330267,1,1
T001,Day3,WS,0.03880773,1,4,38,35,41,24,21,48,242,11956,26,24,1,1,1,10,2,1,42.65,0,0,8.94,41.46,356.3333333,0.903312145,0,0,0,0,0.042854781,0.000117762,0.071673724,0.393260652,0.17498808,0.005067709,0.312037291,1,1
T001,Day4,WS,-0.011873195,1,4,38,35,41,24,21,48,242,10478,24,27,7,3,4,8,7,5,74.16,0,0,10.8,0,760,0.343577019,0,0,0,0,0.022059921,1.13E-07,0.05287284,0.13675075,0.122752356,2.87E-06,0.665561149,0,0
T003,Day1,WS,-0.077138273,2,2,35,38,43,25,19,41,240,13758,52,52,18,15,18,12,18,17,100,0,0,0,0,0,0,98.96,0,0,0,0.869775524,0.015621784,0.01394092,0.00156155,0.088515874,8.29E-05,0.01050149,1,1
T003,Day2,WS,-0.119462458,2,2,35,38,43,25,19,41,240,13434,53,40,19,18,20,19,20,18,100,0,0,0,0,0,0,97.77,0,0.04,0,0.927248362,0.006649884,0.026179015,0.000688916,0.031198399,0.000578599,0.007456825,1,1
T003,Day3,WS,-0.054162657,2,2,35,38,43,25,19,41,240,12051,25,23,6,10,3,18,5,3,93.61,0,2.07,4.32,0,521,0.298730396,93.52,0,0,0,0.79962496,0.112395198,0.036449412,0.00410587,0.040945491,0.000919255,0.005559815,1,1
T003,Day4,WS,0.034348469,2,2,35,38,43,25,19,41,240,12786,25,26,10,7,6,20,5,3,92.9,0,3.54,3.56,0,455,0.281557954,92.04,0,0.07,0,0.841619858,0.041778168,0.006306559,0.001029492,0.102694753,6.95E-05,0.006501668,1,1
T005,Day1,WS,0.132950937,1,2,33,44,36,36,13,40,212,24275,25,33,14,5,12,12,15,5,26.58,0,6.6,33.17,0,1341.833333,0.889804325,56.34,0,0.58,0,0.111446245,3.41E-06,0.021828281,0.004661715,0.192023729,0.00974063,0.66029599,0,0
T005,Day2,WS,0.270887738,1,2,33,44,36,36,13,40,212,16223,35,32,17,12,15,17,15,5,66.91,0,9.34,19.67,0,1061.333333,0.665721507,66.36,0,0.17,0,0.065064738,3.81E-07,0.002085435,0.005448264,0.082758557,0.000630624,0.844012001,0,0
T005,Day3,WS,0.230444195,1,2,33,44,36,36,13,40,212,21576,20,21,8,8,8,15,10,0,17.98,0,7.91,34.85,0,2506.666667,0.500556174,54.57,0,0.37,0,0.091822545,1.79E-07,0.006854338,0.002506667,0.235552978,0.002448652,0.660814641,0,0
T005,Day4,WS,0.278651851,1,2,33,44,36,36,13,40,212,13908,21,20,10,10,8,12,12,0,63.03,0,12.47,18.2,0,1265.5,0.517687662,67.17,0,0.37,0,0.061453095,3.19E-06,0.00393887,0.000830272,0.132817957,0.002184656,0.79877196,0,0
T007,Day1,WS,0.216227693,2,1,35,33,41,40,16,29,232,16429,50,45,15,2,10,17,18,15,85.82,2.15,3.18,5.8,0.55,398,0.438249437,66.22,0,0.09,2.7,0.016464218,0.002188782,0.271887938,0.010873507,0.687758698,0.000152881,0.010673976,1,1
T007,Day2,WS,0.056246772,2,1,35,33,41,40,16,29,232,13532,44,58,17,1,17,16,18,16,56.86,1,0.88,3.13,0,211.5,0.532072125,75.39,0,9.53,1.92,0.013239162,0.002109283,0.2350807,0.006121818,0.694024732,5.43E-05,0.049369987,1,1
T007,Day3,WS,0.149225075,2,1,35,33,41,40,16,29,232,13237,32,31,10,0,2,18,10,1,67.18,0,10.75,4.58,5.5,303,0.543929893,73.67,0,0.06,3.33,0.023594937,0.003629972,0.270509005,0.004951276,0.667074433,0.000458372,0.029782004,1,1
T007,Day4,WS,0.094007657,2,1,35,33,41,40,16,29,232,14077,32,31,5,0,4,18,10,1,48.39,1.87,4.27,7.09,0,360.5,0.511472615,72.32,0,0,12.59,0.030948569,0.006689708,0.482380139,0.007824858,0.456502041,0.000115228,0.015539457,1,1
T009,Day1,WS,0.23273493,1,1,58,32,32,24,29,29,217,18880,59,56,15,10,20,15,15,15,37.64,0.78,0.36,15.64,0,458,1.144067797,72.7,0.01,3.85,0.07,0.04529603,1.74E-05,0.309710277,0.016579232,0.083474005,0.001230166,0.543692843,0,0
T009,Day2,WS,0.207021326,1,1,58,32,32,24,29,29,217,19492,57,43,20,15,15,18,15,18,62.11,0,1.16,22.95,0,875.4,0.923455777,66.42,0,5.33,0.56,0.220984144,0.060421465,0.213956793,0.145973376,0.142941784,0.00724842,0.208474019,1,1
T009,Day3,WS,0.576816702,1,1,58,32,32,24,29,29,217,15178,37,35,10,10,5,15,10,3,61.86,0.9,4.52,23.08,0,1139.666667,0.7115562,59.2,0.04,6.19,4.28,0.188245303,0.000679969,0.172309337,0.113686862,0.1333836,0.055841021,0.335853908,0,1
